geohash,day_of_week,weekend,day,hour,minute,n
9q59x3,2,0,11,21,15,26
9q59x3,2,0,11,21,20,26
9q59x3,2,0,11,21,35,26
9q59x3,2,0,11,21,50,26
9q59x3,2,0,11,22,0,26
9q59x3,3,0,12,21,40,26
9q59x3,3,0,12,21,50,26
9q59x3,3,0,12,23,35,26
9q59x3,3,0,12,23,40,26
9q59x3,4,0,13,21,55,26
9q59x3,5,0,14,21,50,26
9q59x3,5,0,14,21,55,26
9q59x3,5,0,14,22,5,26
9q59x3,5,0,14,22,10,26
9q59x3,5,0,14,22,30,26
9q59x6,2,0,11,23,40,26
9q59x6,6,1,15,21,0,26
9q59x6,6,1,15,21,5,26
9q59x8,6,1,15,21,15,26
9q59x8,6,1,15,21,20,26
9q59xd,2,0,11,21,0,26
9q59xd,2,0,11,21,20,26
9q59xd,2,0,11,23,10,26
9q59xd,2,0,11,23,15,26
9q59xd,2,0,11,23,20,26
9q59xd,2,0,11,23,40,26
9q59xd,2,0,11,23,45,26
9q59xd,2,0,11,23,50,26
9q59xd,2,0,11,23,55,26
9q59x2,4,0,13,21,25,25
9q59x2,4,0,13,22,40,25
9q59x2,4,0,13,22,45,25
9q59x2,4,0,13,23,5,25
9q59x2,4,0,13,23,10,25
9q59x2,4,0,13,23,20,25
9q59x2,4,0,13,23,25,25
9q59x2,4,0,13,23,45,25
9q59x2,5,0,14,21,35,25
9q59x2,5,0,14,22,55,25
9q59x2,5,0,14,23,5,25
9q59x2,5,0,14,23,40,25
9q59x3,2,0,11,21,5,25
9q59x3,2,0,11,21,30,25
9q59x3,2,0,11,21,40,25
9q59x3,2,0,11,21,45,25
9q59x3,2,0,11,21,55,25
9q59x3,3,0,12,21,45,25
9q59x3,4,0,13,21,50,25
9q59x3,5,0,14,21,45,25
9q59x3,5,0,14,22,20,25
9q59x3,5,0,14,22,55,25
9q59x6,2,0,11,23,25,25
9q59x6,2,0,11,23,30,25
9q59x6,2,0,11,23,35,25
9q59x6,2,0,11,23,45,25
9q59x8,6,1,15,21,25,25
9q59x8,6,1,15,21,30,25
9q59x8,6,1,15,21,35,25
9q59x8,6,1,15,21,40,25
9q59x8,6,1,15,22,0,25
9q59xd,2,0,11,21,25,25
9q59xd,2,0,11,23,5,25
9q59x2,4,0,13,23,50,24
9q59x2,5,0,14,22,0,24
9q59x2,5,0,14,22,50,24
9q59x2,5,0,14,23,0,24
9q59x2,5,0,14,23,10,24
9q59x2,5,0,14,23,45,24
9q59x2,5,0,14,23,50,24
9q59x3,2,0,11,21,0,24
9q59x3,3,0,12,23,45,24
9q59x3,3,0,12,23,50,24
9q59x3,3,0,12,23,55,24
9q59x3,4,0,13,21,45,24
9q59x3,5,0,14,21,25,24
9q59x3,5,0,14,21,40,24
9q59x6,2,0,11,22,40,24
9q59x6,2,0,11,22,45,24
9q59x6,2,0,11,22,50,24
9q59x6,2,0,11,23,50,24
9q59x6,2,0,11,23,55,24
9q59x8,6,1,15,21,45,24
9q59x8,6,1,15,23,40,24
9q59xd,2,0,11,21,45,24
